"TIME","GEO","UNIT","INDIC_IL","CITIZEN","SEX","AGE","Value","Flag and Footnotes"
"2003","Denmark","Euro","Median equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Denmark","Euro","Median equivalised net income","EU27 countries except reporting country","Total","18 years or over","19 615",""
"2003","Denmark","Euro","Median equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Denmark","Euro","Median equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over","16 367",""
"2003","Denmark","Euro","Median equivalised net income","Foreign country","Total","18 years or over","17 778",""
"2003","Denmark","Euro","Median equivalised net income","Reporting country","Total","18 years or over","21 234",""
"2003","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","Germany (until 1990 former territory of the FRG)","Euro","Mean equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","Germany (until 1990 former territory of the FRG)","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","Estonia","Euro","Mean equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Estonia","Euro","Mean equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Estonia","Euro","Mean equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Estonia","Euro","Mean equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Estonia","Euro","Mean equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","Estonia","Euro","Mean equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","Estonia","Euro","Median equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Estonia","Euro","Median equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Estonia","Euro","Median equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Estonia","Euro","Median equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Estonia","Euro","Median equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","Estonia","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","Ireland","Euro","Mean equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Ireland","Euro","Mean equivalised net income","EU27 countries except reporting country","Total","18 years or over","18 557",""
"2003","Ireland","Euro","Mean equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Ireland","Euro","Mean equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over","20 285",""
"2003","Ireland","Euro","Mean equivalised net income","Foreign country","Total","18 years or over","19 158",""
"2003","Ireland","Euro","Mean equivalised net income","Reporting country","Total","18 years or over","19 812",""
"2003","Ireland","Euro","Median equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Ireland","Euro","Median equivalised net income","EU27 countries except reporting country","Total","18 years or over","16 813",""
"2003","Ireland","Euro","Median equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Ireland","Euro","Median equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over","15 661",""
"2003","Ireland","Euro","Median equivalised net income","Foreign country","Total","18 years or over","16 350",""
"2003","Ireland","Euro","Median equivalised net income","Reporting country","Total","18 years or over","17 659",""
"2003","Greece","Euro","Mean equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Greece","Euro","Mean equivalised net income","EU27 countries except reporting country","Total","18 years or over","9 856",""
"2003","Greece","Euro","Mean equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Greece","Euro","Mean equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over","7 633",""
"2003","Greece","Euro","Mean equivalised net income","Foreign country","Total","18 years or over","8 034",""
"2003","Greece","Euro","Mean equivalised net income","Reporting country","Total","18 years or over","9 812",""
"2003","Greece","Euro","Median equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Greece","Euro","Median equivalised net income","EU27 countries except reporting country","Total","18 years or over","8 400",""
"2003","Greece","Euro","Median equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Greece","Euro","Median equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over","6 513",""
"2003","Greece","Euro","Median equivalised net income","Foreign country","Total","18 years or over","6 864",""
"2003","Greece","Euro","Median equivalised net income","Reporting country","Total","18 years or over","8 346",""
"2003","Spain","Euro","Mean equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Spain","Euro","Mean equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Spain","Euro","Mean equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Spain","Euro","Mean equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Spain","Euro","Mean equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","Spain","Euro","Mean equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","Spain","Euro","Median equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","Spain","Euro","Median equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","Spain","Euro","Median equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","Spain","Euro","Median equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","Spain","Euro","Median equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","Spain","Euro","Median equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","France","Euro","Mean equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","France","Euro","Mean equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","France","Euro","Mean equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","France","Euro","Mean equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","France","Euro","Mean equivalised net income","Foreign country","Total","18 years or over",":",""
"2003","France","Euro","Mean equivalised net income","Reporting country","Total","18 years or over",":",""
"2003","France","Euro","Median equivalised net income","EU28 countries except reporting country","Total","18 years or over",":",""
"2003","France","Euro","Median equivalised net income","EU27 countries except reporting country","Total","18 years or over",":",""
"2003","France","Euro","Median equivalised net income","Non-EU28 countries nor reporting country","Total","18 years or over",":",""
"2003","France","Euro","Median equivalised net income","Non-EU27 countries nor reporting country","Total","18 years or over",":",""
"2003","France","Euro","Median equivalised net income","Foreign country","Total","18 years or over",":",""
